name,series,character,release,price,size,sculptor,painter,material,brand,url,blog_url
愛宕　凄艶のマックススピードVer.,アズールレーン,AZUR LANEIJN Atago,2023年10月発売,"20,680円（税抜18,800円）",1/7 スケール 全高：約250mm,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/528/,https://alter-web.jp/blog_alter/2022/250/
高雄　魅惑のフルドライブVer.,アズールレーン,AZUR LANEIJN Takao,2023年10月発売,"20,680円（税抜18,800円）",1/7 スケール 全高：約250mm,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/529/,https://alter-web.jp/blog_alter/2022/250/
ルプスレギナ・ベータ　so-bin Ver.,オーバーロード,OVERLORDLupusregina β,2023年9月発売,"25,080円（税抜22,800円）",1/8 スケール 全高：約280mm（武器／台座含む）,たなか☆せんう,渡邊 恭大,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/514/,https://alter-web.jp/blog_alter/2022/234/
愛宕　真夏の行進曲Ver.,アズールレーン,AZUR LANEIJN Atago,2023年9月発売再販2020年6月発売,"22,880円（税抜20,800円）",1/7 スケール 全高：約240mm,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/245/,"https://alter-web.jp/blog_alter/2022/255/,https://alter-web.jp/blog_alter/2019/138/"
高雄　砂浜ラプソディVer.,アズールレーン,AZUR LANEIJN Takao,2023年9月発売再販2020年10月発売,"17,380円（税抜15,800円）",1/7 スケール 全高：約180mm,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/255/,"https://alter-web.jp/blog_alter/2022/255/,https://alter-web.jp/blog_alter/2019/151/"
ボルチモア　エースの放課後Ver.,アズールレーン,AZUR LANEUSS Baltimore,2023年9月発売,"22,880円（税抜20,800円）",1/7 スケール 全高：約250mm,田中 冬志,けん彩色協力：アルター,PVC&ABS製塗装済完成品表情は２種が再現可能,Alter,https://alter-web.jp/products/531/,https://alter-web.jp/blog_alter/2022/251/
ライザ（ライザリン・シュタウト）,ライザのアトリエ ～常闇の女王と秘密の隠れ家～,Atelier Ryza: Ever Darkness & the Secret HideoutReisalin Stout,2023年9月発売,"23,980円（税抜21,800円）",1/7 スケール 全高：約240mm,みさいる,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/524/,https://alter-web.jp/blog_alter/2022/249/
シュヴァルツ　昇進２Ver.,アークナイツ,ARKNIGHTSSchwarz,2023年9月発売,"45,980円（税抜41,800円）",1/7 スケール 全高：約400mm（武器／台座含む）,飛田 崇文【シュヴァルツ】ウサギ【武器】,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/523/,https://alter-web.jp/blog_alter/2022/242/
吾妻　語らいの春霞Ver.,アズールレーン,AZUR LANEIJN Azuma,2023年8月発売,"31,680円（税抜28,800円）",1/7 スケール 全高：約180mm（棚含む）,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品棚は鏡へ差し替え可能 衣装は２種再現可能,Alter,https://alter-web.jp/products/526/,https://alter-web.jp/blog_alter/2022/241/
吾妻　語らいの春霞 軽装Ver.,アズールレーン,AZUR LANEIJN Azuma,2023年8月発売,"25,080円（税抜22,800円）",1/7 スケール 全高：約170mm,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/525/,https://alter-web.jp/blog_alter/2022/241/
ムーンキャンサー／BB　南国小麦色Ver.,Fate/Grand Order,Fate/Grand OrderMoonCancer/BB,2023年7月発売,"30,580円（税抜27,800円）",1/8 スケール 全高：約290mm（台座含む）,sai原型協力：アルター,星名 詠美,PVC&ABS製塗装済完成品表情は２種が再現可能,Alter,https://alter-web.jp/products/517/,https://alter-web.jp/blog_alter/2022/231/
ムーンキャンサー／BB　小悪魔たまご肌Ver.,Fate/Grand Order,Fate/Grand OrderMoonCancer/BB,2023年7月発売,"30,580円（税抜27,800円）",1/8 スケール 全高：約290mm（台座含む）,sai原型協力：アルター,星名 詠美 彩色協力：アルター,PVC&ABS製塗装済完成品表情は２種が再現可能,Alter,https://alter-web.jp/products/518/,https://alter-web.jp/blog_alter/2022/231/
芹沢 あさひ　空と青とアイツVer.,アイドルマスター シャイニーカラーズ,THE IDOLM@STER SHINY COLORSSerizawa Asahi,2023年7月発売,"36,080円（税抜32,800円）",1/7 スケール 全高：約280mm（台座含む）,爪塚 ヒロユキ,爪塚 ヒロユキ,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/520/,https://alter-web.jp/blog_alter/2022/233/
プリンツ・オイゲン,アズールレーン,AZUR LANEKMS Prinz Eugen,2023年6月発売再販2022年1月発売,"44,880円（税抜40,800円）",1/7 スケール 全長：約270mm（艤装含む）,田中 冬志 原型協力：アルター,渡邊 恭大【プリンツ・オイゲン】 山本 洋平＋みうら おさみ【艤装】,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/264/,"https://alter-web.jp/blog_alter/2022/245/,https://alter-web.jp/blog_alter/2020/165/"
フランドール・スカーレット,東方Project,Touhou ProjectFlandre Scarlet,2023年6月発売,"34,980円（税抜31,800円）",1/8 スケール 全高：約250mm（台座含む）,sai,鉄森 七方,PVC&ABS製塗装済完成品ポーズは２種が再現可能 illustration：本田 ロアロ,Alter,https://alter-web.jp/products/516/,"https://alter-web.jp/blog_alter/2022/227/,https://alter-web.jp/blog_alter/2021/198/"
速水 奏　ミスティック・ドーンVer.,アイドルマスター シンデレラガールズ,THE IDOLM@STER CINDERELLA GIRLSHayami Kanade,2023年6月発売再販2020年6月発売,"21,780円（税抜19,800円）",1/7 スケール 全高：約240mm,無銘,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/253/,"https://alter-web.jp/blog_alter/2022/246/,https://alter-web.jp/blog_alter/2019/146/"
セントルイス,アズールレーン,AZUR LANEUSS St.Louis,2023年6月発売再販2022年3月発売,"30,580円（税抜27,800円）",1/7 スケール 全高：約260mm,ヤドカリ／原型協力：アルター【セントルイス】ウサギ【艤装】,鉄森 七方【セントルイス】みうら おさみ【艤装】,PVC&ABS製塗装済完成品艤装は取り外し可能,Alter,https://alter-web.jp/products/479/,"https://alter-web.jp/blog_alter/2022/243/,https://alter-web.jp/blog_alter/2020/173/"
セントルイス　軽装Ver.,アズールレーン,AZUR LANEUSS St.Louis,2023年6月発売再販2022年3月発売,"16,280円（税抜14,800円）",1/7 スケール 全高：約260mm,ヤドカリ原型協力：アルター,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/478/,"https://alter-web.jp/blog_alter/2022/243/,https://alter-web.jp/blog_alter/2020/173/"
スカサハ　刺し穿つバニーVer.,Fate/Grand Order,Fate/Grand OrderScáthach,2023年5月発売再販2020年7月発売,"18,480円（税抜16,800円）",1/7 スケール 全高：約290mm,沼倉 としあき,沼倉 としあき,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/251/,"https://alter-web.jp/blog_alter/2022/244/,https://alter-web.jp/blog_alter/2019/145/"
ホノルル,アズールレーン,AZUR LANEUSS Honolulu,2023年5月発売,"36,080円（税抜32,800円）",1/7 スケール 全高：約260mm,みさいる【ホノルル】ウサギ【艤装】,鉄森 七方【ホノルル】みうら おさみ【艤装】,PVC&ABS製塗装済完成品上着は着脱可能 艤装は取り外し可能,Alter,https://alter-web.jp/products/510/,https://alter-web.jp/blog_alter/2022/222/
ホノルル　軽装Ver.,アズールレーン,AZUR LANEUSS Honolulu,2023年5月発売,"21,780円（税抜19,800円）",1/7 スケール 全高：約260mm,みさいる,鉄森 七方,PVC&ABS製塗装済完成品上着は着脱可能,Alter,https://alter-web.jp/products/511/,https://alter-web.jp/blog_alter/2022/222/
【EVA GLOBAL】アヤナミレイ（仮称）Millennials Illust Ver. フィギュア,「エヴァンゲリオン」シリーズ,“EVANGELION” seriesRei Ayanami (tentative name),2023年5月発売,"20,680円（税抜18,800円）",1/7 スケール 全高：約220mm,飛田 崇文,鉄森 七方,PVC&ABS製塗装済完成品企画：EVA GLOBAL × ALTER （協力： BeBOX）,Alter,https://alter-web.jp/products/515/,https://alter-web.jp/blog_alter/2022/230/
宮本 フレデリカ　フレ・デ・ラ・モードVer.,アイドルマスター シンデレラガールズ,THE IDOLM@STER CINDERELLA GIRLSMiyamoto Frederica,2023年3月発売,"19,580円（税抜17,800円）",1/7 スケール 全高：約230mm,飛田 崇文,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/513/,https://alter-web.jp/blog_alter/2022/224/
加藤恵　Memorial Ver.,冴えない彼女の育てかた Fine,Saenai heroine no sodate-kata.FineKato Megumi,2023年3月発売,"16,280円（税抜14,800円）",1/7 スケール 全高：約240mm,てるゆき＋DUTCH,DUTCH,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/509/,"https://alter-web.jp/blog_alter/2023/257/,https://alter-web.jp/blog_alter/2022/223/"
グラーフ・ツェッペリン　砂浜のウルズVer.,アズールレーン,AZUR LANEKMS Graf Zeppelin,2023年1月発売,"25,080円（税抜22,800円）",1/7 スケール 全高：約250mm,本宮 あまと,鉄森 七方,PVC&ABS製塗装済完成品制帽をかぶった姿も再現可能 マスコットは取り外し可能,Alter,https://alter-web.jp/products/504/,https://alter-web.jp/blog_alter/2021/215/
ボルチモア,アズールレーン,AZUR LANEUSS Baltimore,2023年1月発売,"34,980円（税抜31,800円）",1/7 スケール 全高：約260mm全長：340mm（艤装含む）,田中 冬志【ボルチモア】ウサギ【艤装】,渡邊 恭大,PVC&ABS製塗装済完成品艤装は取り外し可能、右腕２種付属,Alter,https://alter-web.jp/products/505/,https://alter-web.jp/blog_alter/2022/217/
ボルチモア　軽装Ver.,アズールレーン,AZUR LANEUSS Baltimore,2023年1月発売,"20,680円（税抜18,800円）",1/7 スケール 全高：約260mm,田中 冬志,渡邊 恭大,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/506/,https://alter-web.jp/blog_alter/2022/217/
フォーミダブル,アズールレーン,AZUR LANEHMS Formidable,2022年12月発売,"34,980円（税抜31,800円）",1/7 スケール 全高：約240mm全長：約30mm【艦載機】,飛田 崇文【フォーミダブル】飛田 崇文＋みうら おさみ【艤装／艦載機】,鉄森 七方【フォーミダブル】DUTCH【艦載機】,PVC&ABS製塗装済完成品表情は２種が再現可能 艦載機２機付属,Alter,https://alter-web.jp/products/503/,https://alter-web.jp/blog_alter/2021/210/
鷺沢 文香　潮風の一頁Ver.,アイドルマスター シンデレラガールズ,THE IDOLM@STER CINDERELLA GIRLSSagisawa Fumika,2022年12月発売,"21,780円（税抜19,800円）",1/7 スケール 全高：約230mm,タカク＆タケシ,星名 詠美,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/507/,https://alter-web.jp/blog_alter/2021/219/
キャスター／紫式部,Fate/Grand Order,Fate/Grand OrderCaster/Murasaki Shikibu,2022年12月発売,"29,480円（税抜26,800円）",1/7 スケール 全高：約290mm（傘含む）,無銘,焦シミ＋渡邊 恭大,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/508/,https://alter-web.jp/blog_alter/2022/221/
桑山 千雪　よそゆき顔のセレナーデVer.,アイドルマスター シャイニーカラーズ,THE IDOLM@STER SHINY COLORSKuwayama Chiyuki,2022年11月発売,"20,680円（税抜18,800円）",1/7 スケール 全高：約250mm,齊藤 史樹,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/501/,https://alter-web.jp/blog_alter/2021/205/
アヴェンジャー／ジャンヌ・ダルク〔オルタ〕,Fate/Grand Order,Fate/Grand OrderAvenger/Jeanne d'Arc (Alter),2022年10月発売再販2019年10月発売,"29,480円（税抜26,800円）",1/7 スケール 全高：約430mm（旗含む）,いまい（モワノー）＋柳生 敏之,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/230/,"https://alter-web.jp/blog_alter/2021/209/,https://alter-web.jp/blog_alter/2018/119/"
ジャベリン　ビーチピクニック！Ver.,アズールレーン,AZUR LANEHMS Javelin,2022年10月発売,"20,680円（税抜18,800円）",1/7 スケール 全高：約270mm（武器含む）,槙尾 宗利,渡邊 恭大,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/499/,"https://alter-web.jp/blog_alter/2022/84/,https://alter-web.jp/blog_alter/2021/204/"
ミリム・ナーヴァ,転生したらスライムだった件,,2022年10月発売,"20,680円（税抜18,800円）",1/7 スケール 全高：約230mm（台座含む）,稲垣 洋,渡邊 恭大,PVC&ABS製塗装済完成品マント無しの姿も再現可能,Alter,https://alter-web.jp/products/502/,https://alter-web.jp/blog_alter/2021/206/
ベルファスト　彩雲の薔薇Ver.,アズールレーン,AZUR LANEHMS Belfast,2022年9月発売,"23,980円（税抜21,800円）",1/7 スケール 全高：約260mm,柳生 敏之,星名 詠美,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/497/,"https://alter-web.jp/blog_alter/2022/247/,https://alter-web.jp/blog_alter/2021/201/"
バーサーカー／宮本 武蔵,Fate/Grand Order,Fate/Grand OrderBerserker/Miyamoto Musashi,2022年8月発売,"21,780円（税抜19,800円）",1/7 スケール 全高：約330mm（武器含む）,田中 冬志原型協力：アルター,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/498/,https://alter-web.jp/blog_alter/2021/203/
シリアス　青雲映す碧波Ver. ,アズールレーン,AZUR LANEHMS Sirius,2022年8月発売,"23,980円（税抜21,800円）",1/7 スケール 全長：約280mm（小物含む）,みさいる【シリアス／マスコット】ウサギ【艤装／小物】,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/495/,https://alter-web.jp/blog_alter/2021/197/
ル・トリオンファン,アズールレーン,AZUR LANEFFNF Le Triomphant,2022年7月発売,"29,480円（税抜26,800円）",1/7 スケール 全高：約240mm全長：約270mm（武器／艤装含む）,槙尾 宗利【ル・トリオンファン】槙尾 宗利＋ウサギ【艤装】,鉄森 七方【ル・トリオンファン】みうら おさみ【艤装】,PVC&ABS製塗装済完成品艤装は取り外し可能、左腕２種付属,Alter,https://alter-web.jp/products/490/,https://alter-web.jp/blog_alter/2021/194/
ル・トリオンファン　軽装Ver.,アズールレーン,AZUR LANEFFNF Le Triomphant,2022年7月発売,"19,580円（税抜17,800円）",1/7 スケール 全高：約240mm全長：約250mm（武器含む）,槙尾 宗利,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/491/,https://alter-web.jp/blog_alter/2021/194/
ブラックハート,超次元ゲイム ネプテューヌ,HYPERDIMENSION NEPTUNEBlack Heart,2022年5月発売再販2015年11月発売,"18,480円（税抜16,800円）",1/7 スケール 全高：約310mm（羽／台座含む）全長：約410mm（羽／武器含む）,明田川 昇,渡邊 恭大,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/91/,"https://alter-web.jp/blog_alter/2022/229/,https://alter-web.jp/blog_alter/2020/192/"
パープルハート,超次元ゲイム ネプテューヌ,HYPERDIMENSION NEPTUNEPurple Heart,2022年5月発売再販2018年4月発売,"20,680円（税抜18,800円）",1/7 スケール 全高：約350mm（羽／台座含む）,槙尾 宗利【パープルハート】ウサギ【ユニット／武器】,DUTCH,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/181/,"https://alter-web.jp/blog_alter/2020/192/,https://alter-web.jp/blog_alter/2016/58/"
ソフィー（ソフィー・ノイエンミュラー）,ソフィーのアトリエ ～不思議な本の錬金術士～,Atelier Sophie ~The Alchemist of the Mysterious Book~Sophie Neuenmuller,2022年5月発売,"21,780円（税抜19,800円）",1/7 スケール 全高：約260mm（杖／台座含む）,明田川 昇,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/486/,https://alter-web.jp/blog_alter/2020/189/
時崎 狂三,劇場版 デート・ア・ライブ 万由里ジャッジメント,DATE A LIVETokisaki Kurumi,2022年5月発売再販2019年12月発売,"19,580円（税抜17,800円）",1/8 スケール 全高：約220mm,明田川 昇,五日市 歩,PVC&ABS製塗装済完成品左腕は２種付属,Alter,https://alter-web.jp/products/243/,"https://alter-web.jp/blog_alter/2021/195/,https://alter-web.jp/blog_alter/2019/163/,https://alter-web.jp/blog_alter/2019/136/"
